tunecache	0.9.1	v0.9.0-717-g64c90a27-dirty-debug-sm_61	cpu_arch=x86_64,gpu_arch=sm_61,cuda_version=9020	# Last updated Mon Nov 12 09:57:28 2018

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy,comm=0000,reconstruct=12,topo=1111	32	1	1	1	1	1	0	7	0	0	0	0.000359818	# 240.42 Gflop/s, 419.64 GB/s, tuning took 0.027192 seconds at Mon Nov 12 09:27:34 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12	32	1	1	2048	1	1	9831	8	0	0	0	0.000359424	# 240.68 Gflop/s, 420.10 GB/s, tuning took 0.160662 seconds at Mon Nov 12 09:27:34 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12,Xpay	32	1	1	2048	1	1	12289	1	1	1	1	0.000376832	# 237.91 Gflop/s, 400.70 GB/s, tuning took 0.149094 seconds at Mon Nov 12 09:27:27 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12,Xpay,dagger	32	1	1	2048	1	1	12289	9	0	0	0	0.000377856	# 237.27 Gflop/s, 399.61 GB/s, tuning took 0.147510 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12,dagger	32	1	1	2048	1	1	9831	8	0	0	0	0.000364544	# 237.30 Gflop/s, 414.20 GB/s, tuning took 0.161764 seconds at Mon Nov 12 09:27:28 2018
      8x16x16x32	N4quda4blas15tripleCGUpdate_I7double2S2_EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3,vol=65536,stride=65536,precision=8,Ns=4,Nc=3	256	1	1	56	1	1	0	8	0	0	0	0.000131755	# 71.63 Gflop/s, 320.33 GB/s, tuning took 0.885859 seconds at Mon Nov 12 09:27:32 2018
      8x16x16x32	N4quda4blas18tripleCGReduction_I7double36float26float4EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3	128	1	1	56	1	1	0	8	0	0	0	6.82667e-05	# 138.24 Gflop/s, 149.76 GB/s, tuning took 1.245237 seconds at Mon Nov 12 09:27:31 2018
      8x16x16x32	N4quda4blas23HeavyQuarkResidualNorm_I7double37double2S3_EE	vol=65536,stride=65536,precision=8,Ns=4,Nc=3	160	1	1	23	1	1	0	7	0	0	0	8.87467e-05	# 70.89 Gflop/s, 283.57 GB/s, tuning took 0.926147 seconds at Mon Nov 12 09:27:39 2018
      8x16x16x32	N4quda4blas4CdotI7double26float26float4EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3	128	1	1	56	1	1	0	7	0	0	0	5.25653e-05	# 119.69 Gflop/s, 129.66 GB/s, tuning took 0.897400 seconds at Mon Nov 12 09:27:36 2018
      8x16x16x32	N4quda4blas4xpy_I7double2S2_EE	vol=65536,stride=65536,precision=8,Ns=4,Nc=3	1024	1	1	19	1	1	0	8	0	0	0	0.000108203	# 14.54 Gflop/s, 348.87 GB/s, tuning took 1.209597 seconds at Mon Nov 12 09:27:34 2018
      8x16x16x32	N4quda4blas5Norm2Id7double2S2_EE	vol=65536,stride=65536,precision=8,Ns=4,Nc=3	288	1	1	52	1	1	0	8	0	0	0	5.29067e-05	# 59.46 Gflop/s, 237.83 GB/s, tuning took 0.836524 seconds at Mon Nov 12 09:27:28 2018
      8x16x16x32	N4quda4blas6caxpy_I6float26float4EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3	864	1	1	47	1	1	0	7	0	0	0	3.1744e-05	# 198.19 Gflop/s, 322.06 GB/s, tuning took 0.351237 seconds at Mon Nov 12 09:27:37 2018
      8x16x16x32	N4quda4blas6xpayz_I6float26float4EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3	1024	1	1	43	1	1	0	7	0	0	0	3.1744e-05	# 99.10 Gflop/s, 322.06 GB/s, tuning took 0.351666 seconds at Mon Nov 12 09:27:37 2018
      8x16x16x32	N4quda4blas8xmyNorm2Id7double2S2_EE	vol=65536,stride=65536,precision=8,Ns=4,Nc=3	256	1	1	56	1	1	0	7	0	0	0	0.000123904	# 38.08 Gflop/s, 304.66 GB/s, tuning took 1.359627 seconds at Mon Nov 12 09:27:35 2018
      8x16x16x32	N4quda4blas9axpyNorm2Id6float26float4EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3	192	1	1	49	1	1	0	7	0	0	0	4.98347e-05	# 126.25 Gflop/s, 205.15 GB/s, tuning took 0.650137 seconds at Mon Nov 12 09:27:38 2018
      8x16x16x32	N4quda4blas9axpyZpbx_I7double2S2_EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3,vol=65536,stride=65536,precision=8,Ns=4,Nc=3	128	1	1	56	1	1	0	7	0	0	0	0.000106837	# 58.89 Gflop/s, 331.25 GB/s, tuning took 0.739073 seconds at Mon Nov 12 09:27:38 2018
      8x16x16x32	copyKernel	dst=vol=65536,stride=65536,precision=2,Ns=4,Nc=3,src=vol=65536,stride=65536,precision=8,Ns=4,Nc=3	512	1	1	50	1	1	0	7	0	0	0	4.88107e-05	# 0.00 Gflop/s, 327.61 GB/s, tuning took 0.558620 seconds at Mon Nov 12 09:27:29 2018
  bytes=12582912	cudaMemcpyAsyncDeviceToDevice	copy,copy_quda.cu,133	32	1	1	1	1	1	0	8	0	0	0	7.5776e-05	# 0.00 Gflop/s, 332.11 GB/s, tuning took 0.000181 seconds at Mon Nov 12 09:27:28 2018
  bytes=12582912	cudaMemcpyDeviceToHost	saveSpinorField,cuda_color_spinor_field.cu,645	32	1	1	1	1	1	0	1	1	1	1	0.00767754	# 0.00 Gflop/s, 1.64 GB/s, tuning took 0.015837 seconds at Mon Nov 12 09:56:58 2018
  bytes=12582912	cudaMemcpyHostToDevice	loadSpinorField,cuda_color_spinor_field.cu,599	32	1	1	1	1	1	0	1	1	1	1	0.00846106	# 0.00 Gflop/s, 1.49 GB/s, tuning took 0.016980 seconds at Mon Nov 12 09:56:58 2018
   bytes=1572864	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cu,280	32	1	1	1	1	1	0	1	1	1	1	9.216e-06	# 0.00 Gflop/s, 341.33 GB/s, tuning took 0.000041 seconds at Mon Nov 12 09:27:25 2018
  bytes=18874368	cudaMemcpyHostToDevice	copy,cuda_gauge_field.cu,693	32	1	1	1	1	1	0	1	1	1	1	0.0126994	# 0.00 Gflop/s, 1.49 GB/s, tuning took 0.025481 seconds at Mon Nov 12 09:27:24 2018
  bytes=25165824	cudaMemcpyDeviceToHost	saveSpinorField,cuda_color_spinor_field.cu,645	32	1	1	1	1	1	0	7	0	0	0	0.0155525	# 0.00 Gflop/s, 1.62 GB/s, tuning took 0.031559 seconds at Mon Nov 12 09:27:39 2018
  bytes=25165824	cudaMemcpyHostToDevice	loadSpinorField,cuda_color_spinor_field.cu,599	32	1	1	1	1	1	0	1	1	1	1	0.0168883	# 0.00 Gflop/s, 1.49 GB/s, tuning took 0.034385 seconds at Mon Nov 12 09:27:26 2018
    bytes=262144	cudaMemcpyAsyncDeviceToDevice	copy,copy_quda.cu,135	32	1	1	1	1	1	0	7	0	0	0	6.144e-06	# 0.00 Gflop/s, 85.33 GB/s, tuning took 0.000053 seconds at Mon Nov 12 09:27:29 2018
   bytes=3145728	cudaMemcpyAsyncDeviceToDevice	copy,copy_quda.cu,133	32	1	1	1	1	1	0	7	0	0	0	2.1504e-05	# 0.00 Gflop/s, 292.57 GB/s, tuning took 0.000076 seconds at Mon Nov 12 09:27:29 2018
   bytes=3145728	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cu,280	32	1	1	1	1	1	0	1	1	1	1	2.2528e-05	# 0.00 Gflop/s, 279.27 GB/s, tuning took 0.000089 seconds at Mon Nov 12 09:27:25 2018
